^Full Path^|^Length^|^Creation Time Utc^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\sqlcab.dll^|^115560^|^9/23/2011 5:06:04 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\sqlconf.dll^|^47640^|^7/10/2008 1:31:00 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\sqlsccn.dll^|^55656^|^9/23/2011 5:07:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\UninstallWizard.xml^|^4231^|^9/14/2011 7:16:30 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\UpgradeWizard.xml^|^11430^|^9/14/2011 7:16:30 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\setup.exe^|^133992^|^9/23/2011 5:07:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\setup.exe.config^|^331^|^8/24/2011 12:32:20 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\DbgHelp.dll^|^1329688^|^7/10/2008 12:38:20 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\sqlsval.dll^|^1403752^|^9/23/2011 5:07:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\xmlrw.dll^|^282136^|^7/10/2008 1:31:16 PM^
^C:\Program Files\Microsoft SQL Server\100\Shared\instapi10.dll^|^43544^|^7/10/2008 12:39:32 PM^
^C:\Program Files\Microsoft SQL Server\100\Shared\sqlboot.dll^|^88936^|^9/23/2011 5:06:04 AM^
^C:\Program Files\Microsoft SQL Server\110\DAC\bin\en\License_DACFx.txt^|^13606^|^8/13/2013 10:39:22 PM^
^C:\Program Files\Microsoft SQL Server\110\DAC\bin\Redist_DACFramework.txt^|^18^|^8/13/2013 3:44:58 PM^
^C:\Program Files\Microsoft SQL Server\110\KeyFile\1033\sharedmanagementobjects_keyfile.dll^|^24040^|^10/20/2012 4:18:40 AM^
^C:\Program Files\Microsoft SQL Server\110\KeyFile\1033\sqlncli_keyfile.dll^|^24256^|^1/8/2016 1:27:02 AM^
^C:\Program Files\Microsoft SQL Server\110\KeyFile\1033\sqlsysclrtypes_keyfile.dll^|^24168^|^8/29/2013 7:03:16 PM^
^C:\Program Files\Microsoft SQL Server\110\KeyFile\1033\sql_localdb_loc_keyfile.dll^|^24040^|^10/20/2012 4:18:40 AM^
^C:\Program Files\Microsoft SQL Server\110\License Terms\License_SqlLocalDB_1033.txt^|^13538^|^2/10/2012 9:30:10 PM^
^C:\Program Files\Microsoft SQL Server\110\License Terms\License_SQLNCLI_ENU.txt^|^14310^|^2/10/2012 8:30:10 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\msxmlsql.rll^|^58968^|^2/11/2012 1:01:48 PM^
